distritos,n_defunciones,anio
ABANCAY,234,2018
ABELARDOPARDOLEZAM,1,2018
ACARI,18,2018
ACAS,1,2018
ACCHA,25,2018
ACCOMARCA,8,2018
ACHAYA,10,2018
ACHOMA,2,2018
ACO,18,2018
ACOBAMBA,141,2018
ACOBAMBILLA,10,2018
ACOCHACA,18,2018
ACOCRO,24,2018
ACOLLA,50,2018
ACOMAYO,25,2018
ACOPAMPA,16,2018
ACOPIA,19,2018
ACORA,101,2018
ACORIA,119,2018
ACOS,22,2018
ACOSVINCHOS,9,2018
ACOSTAMBO,22,2018
ACRAQUIA,21,2018
ACZO,12,2018
AGALLPAMPA,20,2018
AGUABLANCA,10,2018
AGUASVERDES,64,2018
AHUAC,39,2018
AHUAYCHA,21,2018
AIJA,13,2018
AJOYANI,2,2018
ALBERTOLEVEAU,2,2018
ALCA,6,2018
ALCAMENCA,12,2018
ALEXANDERVONHUMBO,3,2018
ALFONSOUGARTE,4,2018
ALLAUCA,4,2018
ALONSODEALVARADO,41,2018
ALTOBIAVO,12,2018
ALTODELAALIANZA,136,2018
ALTOINAMBARI,29,2018
ALTOLARAN,36,2018
ALTONANAY,5,2018
ALTOPICHIGUA,15,2018
ALTOSAPOSOA,NA,2018
CUADRON,3,2018
DEFUNCIONESREGISTRADASPOR,NA,2018
DISTRITOSSEGNAO,2018,2018
Seleccionecursorsobremapapara,NA,2018
vermayores,NA,2018
detalles,NA,2018
ALTOPICHIGUA,NA,2018
Distrito,NA,2018
ALTOSAPOSOA,13,2018
ALTOSELVAALEGRE,377,2018
ALTOTAPICHE,1,2018
AMANTANI,16,2018
AMARILIS,347,2018
AMASHCA,9,2018
AMBAR,4,2018
AMBO,99,2018
AMOTAPE,14,2018
ANANEA,27,2018
ANAPIA,3,2018
ANCAHUASI,39,2018
ANCHIHUAY,8,2018
ANCHONGA,29,2018
ANCO,55,2018
ANCOHUALLO,47,2018
ANCON,153,2018
ANDABAMBA,21,2018
ANDAGUA,8,2018
ANDAHUAYLAS,107,2018
ANDAHUAYLILLAS,31,2018
ANDAJES,3,2018
ANDAMARCA,21,2018
ANDARAPA,10,2018
ANDARAY,4,2018
ANDAYMARCA,13,2018
ANDOAS,7,2018
ANDRESAVELINOCACER,45,2018
ANGASMARCA,19,2018
ANGUIA,14,2018
ANRA,6,2018
ANTA,125,2018
ANTABAMBA,23,2018
ANTAUTA,20,2018
ANTIOQUIA,8,2018
ANTONIORAIMONDI,7,2018
APARICIOPOMARES,10,2018
APATA,31,2018
APLAO,32,2018
APONGO,4,2018
AQUIA,13,2018
ARAHUAY,3,2018
ARAMANGO,7,2018
ARANCAY,9,2018
ARAPA,67,2018
ARENAL,NA,2018
CUADRON,3,2018
DEFUNCIONESREGISTRADASPOR,NA,2018
DISTRITOSSEGNAO,2018,2018
Seleccionecursorsobremapapara,NA,2018
vermayores,NA,2018
detalles,NA,2018
ARAPA,NA,2018
Distrito,NA,2018
ARENAL,1,2018
AREQUIPA,505,2018
ARMA,7,2018
ASCENSION,48,2018
ASCOPE,36,2018
ASIA,21,2018
ASILLO,90,2018
ASQUIPATA,4,2018
ASUNCION,6,2018
ATAQUERO,11,2018
ATAURA,7,2018
ATAVILLOSALTO,10,2018
ATAVILLOSBAJO,2,2018
ATE,1248,2018
ATICO,8,2018
ATUNCOLLA,17,2018
AUCALLAMA,74,2018
AUCARA,13,2018
AURAHUA,5,2018
AWAJUN,9,2018
AYABACA,70,2018
AYACUCHO,411,2018
AYAHUANCO,4,2018
AYAPATA,30,2018
AYAVI,1,2018
AYAVIRI,166,2018
AYNA,23,2018
AYO,2,2018
AZANGARO,192,2018
BAGUA,16,2018
BAGUAGRANDE,153,2018
BAJOBIAVO,17,2018
BALSAPUERTO,17,2018
BALSAS,3,2018
BAMBAMARCA,223,2018
BAMBAS,3,2018
BAOS,11,2018
BARRANCA,382,2018
BARRANCO,209,2018
BARRANQUITA,22,2018
BELEN,133,2018
BELLAUNION,5,2018
BELLAVISTA,866,2018
BELLAVISTADELAUNION,10,2018
BERNAL,14,2018
BOLIVAR,NA,2018
CUADRON,3,2018
DEFUNCIONESREGISTRADASPOR,NA,2018
DISTRITOSSEGNAO,2018,2018
Seleccionecursorsobremapapara,NA,2018
vermayores,NA,2018
detalles,NA,2018
BERNAL,NA,2018
Distrito,NA,2018
BOLIVAR,15,2018
BOLOGNESI,6,2018
BREA,562,2018
BUENAVISTAALTA,8,2018
BUENOSAIRES,60,2018
BULDIBUYO,13,2018
CABANA,35,2018
CABANACONDE,7,2018
CABANILLA,22,2018
CABANILLAS,25,2018
CACATACHI,17,2018
CACERESDELPERU,16,2018
CACHACHI,39,2018
CACHICADAN,16,2018
CACHIMAYO,15,2018
CACRA,4,2018
CAHUAC,3,2018
CAHUACHO,2,2018
CAICAY,11,2018
CAIRANI,7,2018
CAJA,16,2018
CAJABAMBA,155,2018
CAJACAY,9,2018
CAJAMARCA,565,2018
CAJARURO,61,2018
CAJATAMBO,8,2018
CAJAY,32,2018
CALAMARCA,7,2018
CALANA,25,2018
CALANGO,5,2018
CALAPUJA,8,2018
CALCA,104,2018
CALETADECARQUIN,10,2018
CALLAHUANCA,4,2018
CALLALLI,6,2018
CALLANMARCA,7,2018
CALLAO,2174,2018
CALLAYUC,8,2018
CALLERIA,850,2018
CALQUIS,3,2018
CALZADA,33,2018
CAMANA,97,2018
CAMANTI,7,2018
CAMILACA,4,2018
CAMINACA,17,2018
CAMPANILLA,NA,2018
CUADRON,3,2018
DEFUNCIONESREGISTRADASPOR,NA,2018
DISTRITOSSEGNAO,2018,2018
Seleccionecursorsobremapapara,NA,2018
vermayores,NA,2018
detalles,NA,2018
CAMINACA,NA,2018
Distrito,NA,2018
CAMPANILLA,7,2018
CAMPORREDONDO,6,2018
CAMPOVERDE,49,2018
CANARIA,19,2018
CANAYRE,3,2018
CANCHABAMBA,11,2018
CANCHAQUE,47,2018
CANCHAYLLO,8,2018
CANDARAVE,11,2018
CANGALLO,38,2018
CANOASDEPUNTASAL,12,2018
CANTA,18,2018
CAARIS,14,2018
CAPACHICA,56,2018
CAPACMARCA,29,2018
CAPASO,1,2018
CAPAYA,3,2018
CAPELO,2,2018
CAPILLAS,5,2018
CARABAMBA,12,2018
CARABAYLLO,680,2018
CARACOTO,53,2018
CARAMPOMA,2,2018
CARANIA,1,2018
CARAPO,5,2018
CARAVELI,6,2018
CARAYBAMBA,5,2018
CARAZ,138,2018
CARHUACALLANGA,2,2018
CARHUAMAYO,28,2018
CARHUANCA,3,2018
CARHUAZ,87,2018
CARMENALTO,67,2018
CARMENDELALEGUARE,224,2018
CARMENSALCEDO,2,2018
CARUMAS,12,2018
CASAGRANDE,166,2018
CASCA,15,2018
CASCAPARA,7,2018
CASCAS,41,2018
CASHAPAMPA,10,2018
CASITAS,8,2018
CASMA,122,2018
CASPIZAPA,1,2018
CASTA,2,2018
CASTILLA,NA,2018
CUADRON,3,2018
DEFUNCIONESREGISTRADASPOR,NA,2018
DISTRITOSSEGNAO,2018,2018
Seleccionecursorsobremapapara,NA,2018
vermayores,NA,2018
detalles,NA,2018
CASTA,NA,2018
Distrito,NA,2018
CASTILLA,387,2018
CASTILLOGRANDE,29,2018
CASTROVIRREYNA,16,2018
CATAC,25,2018
CATACAOS,223,2018
CATACHE,13,2018
CATILLUC,1,2018
CAYALTI,93,2018
CAYARA,12,2018
CAYARANI,9,2018
CAYLLOMA,6,2018
CAYMA,359,2018
CAYNA,7,2018
CAYNARACHI,36,2018
CCAPI,34,2018
CCARHUAYO,20,2018
CCATCA,75,2018
CCOCHACCASA,13,2018
CCORCA,16,2018
CELENDIN,129,2018
CERROAZUL,36,2018
CERROCOLORADO,634,2018
CHACABAMBA,11,2018
CHACAPALPA,4,2018
CHACAPAMPA,7,2018
CHACAS,44,2018
CHACAYAN,16,2018
CHACCHO,10,2018
CHACHAPOYAS,129,2018
CHACHAS,3,2018
CHACLACAYO,207,2018
CHACOCHE,5,2018
CHADIN,4,2018
CHAGLLA,37,2018
CHALA,9,2018
CHALACO,56,2018
CHALAMARCA,14,2018
CHALCOS,2,2018
CHALHUANCA,20,2018
CHALLABAMBA,37,2018
CHALLHUAHUACHO,30,2018
CHAMACA,27,2018
CHAMBARA,13,2018
CHANCAY,296,2018
CHANCAYBAOS,12,2018
CHANCHAMAYO,NA,2018
CUADRON,3,2018
DEFUNCIONESREGISTRADASPOR,NA,2018
DISTRITOSSEGNAO,2018,2018
Seleccionecursorsobremapapara,NA,2018
vermayores,NA,2018
detalles,NA,2018
CHANCAYBAOS,NA,2018
Distrito,NA,2018
CHANCHAMAYO,160,2018
CHANGUILLO,14,2018
CHAO,100,2018
CHAPARRA,4,2018
CHAPIMARCA,7,2018
CHARACATO,52,2018
CHARAT,6,2018
CHARCANA,1,2018
CHAUPIMARCA,64,2018
CHAVIN,6,2018
CHAVINDEHUANTAR,52,2018
CHAVINDEPARIARCA,16,2018
CHAVINILLO,45,2018
CHAVIA,12,2018
CHAZUTA,25,2018
CHECACUPE,40,2018
CHECCA,39,2018
CHECRAS,5,2018
CHEPEN,262,2018
CHETILLA,3,2018
CHETO,7,2018
CHIARA,21,2018
CHICAMA,85,2018
CHICCHE,7,2018
CHICHAS,6,2018
CHICLA,4,2018
CHICLAYO,1221,2018
CHIGUATA,25,2018
CHIGUIRIP,10,2018
CHILCA,419,2018
CHILCAS,2,2018
CHILCAYMARCA,2,2018
CHILCAYOC,3,2018
CHILETE,12,2018
CHILIQUIN,1,2018
CHILLIA,34,2018
CHIMBAN,3,2018
CHIMBOTE,1238,2018
CHINCHAALTA,451,2018
CHINCHABAJA,59,2018
CHINCHAO,97,2018
CHINCHAYPUJIO,26,2018
CHINCHERO,58,2018
CHINCHEROS,25,2018
CHINCHIHUASI,14,2018
CHINCHO,NA,2018
CUADRON,3,2018
DEFUNCIONESREGISTRADASPOR,NA,2018
DISTRITOSSEGNAO,2018,2018
Seleccionecursorsobremapapara,NA,2018
vermayores,NA,2018
detalles,NA,2018
CHINCHIHUASI,NA,2018
Distrito,NA,2018
CHINCHO,3,2018
CHINGALPO,2,2018
CHINGAS,11,2018
CHIPAO,13,2018
CHIPURANA,1,2018
CHIQUIAN,16,2018
CHIRIMOTO,3,2018
CHIRINOS,40,2018
CHIVAY,19,2018
CHOCHOPE,4,2018
CHOCO,2,2018
CHOCOPE,68,2018
CHOCOS,3,2018
CHOJATA,8,2018
CHOLON,14,2018
CHONGOSALTO,15,2018
CHONGOSBAJO,43,2018
CHONGOYAPE,36,2018
CHONTABAMBA,17,2018
CHONTALI,11,2018
CHORAS,9,2018
CHOROPAMPA,2,2018
CHOROS,3,2018
CHORRILLOS,1003,2018
CHOTA,149,2018
CHUCUITO,37,2018
CHUGAY,18,2018
CHUGUR,11,2018
CHULUCANAS,427,2018
CHUMPI,3,2018
CHUMUCH,3,2018
CHUNGUI,9,2018
CHUPA,51,2018
CHUPACA,119,2018
CHUPAMARCA,4,2018
CHUPURO,13,2018
CHUQUIBAMBA,24,2018
CHUQUIBAMBILLA,32,2018
CHUQUIS,14,2018
CHURCAMPA,26,2018
CHURUBAMBA,70,2018
CHUSCHI,25,2018
CIENEGUILLA,64,2018
CIRCA,9,2018
CIUDADNUEVA,114,2018
COALAQUE,NA,2018
CUADRON,3,2018
DEFUNCIONESREGISTRADASPOR,NA,2018
DISTRITOSSEGNAO,2018,2018
Seleccionecursorsobremapapara,NA,2018
vermayores,NA,2018
detalles,NA,2018
CIUDADNUEVA,NA,2018
Distrito,NA,2018
COALAQUE,4,2018
COASA,24,2018
COATA,22,2018
COAYLLO,7,2018
COCABAMBA,3,2018
COCACHACRA,42,2018
COCAS,1,2018
COCHABAMBA,36,2018
COCHAMAL,1,2018
COCHAMARCA,1,2018
COCHAPETI,5,2018
COCHARCAS,8,2018
COCHAS,11,2018
COCHORCO,7,2018
CODODELPOZUZO,9,2018
COISHCO,55,2018
COJATA,25,2018
COLAN,55,2018
COLASAY,14,2018
COLCA,14,2018
COLCABAMBA,68,2018
COLCAMAR,4,2018
COLCHA,13,2018
COLONIA,6,2018
COLPAS,5,2018
COLQUEMARCA,47,2018
COLQUEPATA,58,2018
COLQUIOC,5,2018
COLTA,2,2018
COMANDANTENOEL,11,2018
COMAS,1548,2018
COMBAPATA,36,2018
CONAYCA,9,2018
CONCEPCION,109,2018
CONCHAMARCA,24,2018
CONCHAN,10,2018
CONCHUCOS,32,2018
CONDEBAMBA,60,2018
CONDORMARCA,8,2018
CONDOROMA,4,2018
CONDURIRI,10,2018
CONGALLA,17,2018
CONGAS,6,2018
CONILA,2,2018
CONIMA,43,2018
CONSTITUCION,NA,2018
CUADRON,3,2018
DEFUNCIONESREGISTRADASPOR,NA,2018
DISTRITOSSEGNAO,2018,2018
Seleccionecursorsobremapapara,NA,2018
vermayores,NA,2018
detalles,NA,2018
CONIMA,NA,2018
Distrito,NA,2018
CONSTITUCION,13,2018
CONTAMANA,80,2018
CONTUMAZA,15,2018
COPA,2,2018
COPALLIN,7,2018
COPANI,33,2018
COPORAQUE,68,2018
CORACORA,49,2018
CORANI,7,2018
CORCULLA,1,2018
CORDOVA,9,2018
CORIS,6,2018
CORONELCASTAEDA,2,2018
CORONELGREGORIOALB,253,2018
CORONGO,8,2018
COROSHA,5,2018
CORRALES,79,2018
CORTEGANA,9,2018
COSME,16,2018
COSPAN,11,2018
COTABAMBAS,21,2018
COTAHUASI,13,2018
COTAPARACO,2,2018
COTARUSE,16,2018
COVIRIALI,14,2018
COYA,21,2018
COYLLURQUI,31,2018
CRISTONOSVALGA,6,2018
CRUCERO,44,2018
CUCHUMBAYA,2,2018
CUENCA,8,2018
CUISPES,2,2018
CUJILLO,3,2018
CULEBRAS,7,2018
CULLHUAS,2,2018
CUMBA,9,2018
CUUMBUQUI,20,2018
CUPI,5,2018
CUPISNIQUE,1,2018
CURAMORI,52,2018
CURAHUASI,89,2018
CURASCO,1,2018
CURGOS,17,2018
CURICACA,7,2018
CURIMANA,16,2018
CURPAHUASI,NA,2018
CUADRON,3,2018
DEFUNCIONESREGISTRADASPOR,NA,2018
DISTRITOSSEGNAO,2018,2018
Seleccionecursorsobremapapara,NA,2018
vermayores,NA,2018
detalles,NA,2018
CURIMANA,NA,2018
Distrito,NA,2018
CURPAHUASI,11,2018
CUSCA,8,2018
CUSCO,556,2018
CUSIPATA,45,2018
CUTERVO,142,2018
CUTURAPI,8,2018
CUYOCUYO,11,2018
DANIELALOMIAROBLES,16,2018
DANIELHERNANDEZ,39,2018
DEANVALDIVIA,19,2018
DESAGUADERO,8,2018
ECHARATE,178,2018
EDUARDOVILLANUEVA,12,2018
ELAGUSTINO,695,2018
ELALGARROBAL,2,2018
ELALTO,20,2018
ELCARMEN,58,2018
ELCARMENDELAFRONT,45,2018
ELCENEPA,3,2018
ELESLABON,6,2018
ELINGENIO,13,2018
ELMANTARO,14,2018
ELMILAGRO,5,2018
ELORO,5,2018
ELPARCO,2,2018
ELPORVENIR,677,2018
ELPRADO,3,2018
ELTALLAN,3,2018
ELTAMBO,849,2018
ELEAZARGUZMANBARR,4,2018
ELIASSOPLINVARGAS,48,2018
EMILIOSANMARTIN,1,2018
ENCAADA,32,2018
ESPINAR,171,2018
ESTIQUEPAMPA,1,2018
ETEN,53,2018
ETENPUERTO,8,2018
EXTRANJERO,277,2018
FERNANDOLORES,41,2018
FERREAFE,148,2018
FIDELOLIVASESCUDERO,13,2018
FITZCARRALD,1,2018
FLORENCIADEMORA,265,2018
FLORIDA,16,2018
FRIAS,65,2018
GORGOR,1,2018
CUADRON,3,2018
DEFUNCIONESREGISTRADASPOR,NA,2018
DISTRITOSSEGNAO,2018,2018
Seleccionecursorsobremapapara,NA,2018
vermayores,NA,2018
detalles,NA,2018
Distrito,NA,2018
FRIAS,NA,2018
GORGOR,1,2018
GOYLLARISQUIZGA,1,2018
GREGORIOPITA,34,2018
GROCIOPRADO,84,2018
GUADALUPE,174,2018
GUADALUPITO,21,2018
GUZMANGO,4,2018
HABANA,4,2018
HAQUIRA,34,2018
HERMILIOVALDIZAN,11,2018
HEROESALBARRACIN,2,2018
HEROINASTOLEDO,5,2018
HONORIA,9,2018
HUABAL,8,2018
HUACHUAS,2,2018
HUACACHI,14,2018
HUACAA,4,2018
HUACAR,32,2018
HUACASCHUQUE,5,2018
HUACAYBAMBA,40,2018
HUACCANA,12,2018
HUACCHIS,10,2018
HUACHAC,16,2018
HUACHIS,15,2018
HUACHO,237,2018
HUACHOCOLPA,18,2018
HUACHON,10,2018
HUACHOS,12,2018
HUACHUPAMPA,3,2018
HUACLLAN,4,2018
HUACRACHUCO,65,2018
HUACRAPUQUIO,13,2018
HUACULLANI,6,2018
HUAILLATI,3,2018
HUALGAYOC,38,2018
HUALHUAS,19,2018
HUALLA,13,2018
HUALLAGA,3,2018
HUALLANCA,37,2018
HUALLAYGRANDE,9,2018
HUALMAY,58,2018
HUAMACHUCO,274,2018
HUAMALI,11,2018
HUAMANCACACHICO,16,2018
HUAMANGUILLA,8,2018
HUAMANQUIQUIA,NA,2018
CUADRON,3,2018
DEFUNCIONESREGISTRADASPOR,NA,2018
DISTRITOSSEGNAO,2018,2018
Seleccionecursorsobremapapara,NA,2018
vermayores,NA,2018
detalles,NA,2018
HUAMANGUILLA,NA,2018
Distrito,NA,2018
HUAMANQUIQUIA,6,2018
HUAMANTANGA,2,2018
HUAMATAMBO,3,2018
HUAMBALPA,14,2018
HUAMBO,9,2018
HUAMBOS,23,2018
HUAMPARA,1,2018
HUANCA,7,2018
HUANCAHUANCA,9,2018
HUANCABAMBA,156,2018
HUANCAN,62,2018
HUANCANE,178,2018
HUANCANO,13,2018
HUANCAPI,14,2018
HUANCAPON,5,2018
HUANCARAMA,14,2018
HUANCARANI,32,2018
HUANCARAY,8,2018
HUANCARAYLLA,8,2018
HUANCARQUI,4,2018
HUANCAS,2,2018
HUANCAVELICA,197,2018
HUANCAYA,1,2018
HUANCAYO,619,2018
HUANCHACO,217,2018
HUANCHAY,11,2018
HUANDO,33,2018
HUANDOVAL,4,2018
HUANGASCAR,1,2018
HUANIPACA,14,2018
HUANOQUITE,35,2018
HUANTA,40,2018
HUANTAN,1,2018
HUANTAR,12,2018
HUANUARA,5,2018
HUANUCO,493,2018
HUANUHUANU,1,2018
HUANZA,5,2018
HUAEC,1,2018
HUAQUIRCA,14,2018
HUARAL,540,2018
HUARANCHAL,15,2018
HUARANGO,20,2018
HUARAZ,284,2018
HUARI,62,2018
HUARIACA,NA,2018
CUADRON,3,2018
DEFUNCIONESREGISTRADASPOR,NA,2018
DISTRITOSSEGNAO,2018,2018
Seleccionecursorsobremapapara,NA,2018
vermayores,NA,2018
detalles,NA,2018
HUARI,NA,2018
Distrito,NA,2018
HUARIACA,15,2018
HUARIBAMBA,18,2018
HUARICOLCA,15,2018
HUARIPAMPA,7,2018
HUARMACA,111,2018
HUARMEY,115,2018
HUARO,24,2018
HUAROCHIRI,16,2018
HUAROCONDO,48,2018
HUAROS,7,2018
HUASAHUASI,54,2018
HUASICANCHA,6,2018
HUASMIN,27,2018
HUASO,5,2018
HUASTA,12,2018
HUATA,19,2018
HUATASANI,30,2018
HUAURA,79,2018
HUAYHUAY,5,2018
HUAYACUNDOARMA,5,2018
HUAYAN,9,2018
HUAYANA,3,2018
HUAYLAS,7,2018
HUAYLLABAMBA,47,2018
HUAYLLACAYAN,6,2018
HUAYLLAHUARA,4,2018
HUAYLLAN,17,2018
HUAYLLAPAMPA,4,2018
HUAYLLAY,22,2018
HUAYNACOTAS,2,2018
HUAYO,4,2018
HUAYOPATA,54,2018
HUAYRAPATA,20,2018
HUAYTARA,8,2018
HUAYUCACHI,35,2018
HUEPETUHE,10,2018
HUERTAS,15,2018
HUICUNGO,14,2018
HUIMBAYOC,11,2018
HUMAY,33,2018
IBERIA,15,2018
ICA,849,2018
ICHOCAN,20,2018
ICHUA,17,2018
ICHUPAMPA,3,2018
IGNACIOESCUDERO,NA,2018
CUADRON,3,2018
DEFUNCIONESREGISTRADASPOR,NA,2018
DISTRITOSSEGNAO,2018,2018
Seleccionecursorsobremapapara,NA,2018
vermayores,NA,2018
detalles,NA,2018
ICHUPAMPA,NA,2018
Distrito,NA,2018
IGNACIOESCUDERO,64,2018
IGUAIN,2,2018
IHUARI,5,2018
IHUAYLLO,5,2018
ILABAYA,10,2018
ILAVE,176,2018
ILLIMO,39,2018
ILO,285,2018
IMAZA,6,2018
IMPERIAL,201,2018
INAHUAYA,4,2018
INAMBARI,36,2018
INCAHUASI,18,2018
INCHUPALLA,27,2018
INCLAN,8,2018
INDEPENDENCIA,1162,2018
INDIANA,36,2018
INGENIO,12,2018
INGUILPATA,1,2018
INKAWASI,16,2018
IPARIA,25,2018
IQUITOS,441,2018
IRAY,2,2018
IRAZOLA,24,2018
ISLAY,17,2018
ITE,11,2018
ITUATA,29,2018
IZCUCHACA,14,2018
JACASCHICO,11,2018
JACASGRANDE,35,2018
JACOBOHUNTER,217,2018
JAEN,174,2018
JAMALCA,12,2018
JANGAS,23,2018
JANJAILLO,4,2018
JAQUI,4,2018
JAUJA,95,2018
JAYANCA,38,2018
JAZAN,14,2018
JEBEROS,9,2018
JENAROHERRERA,5,2018
JEPELACIO,51,2018
JEQUETEPEQUE,4,2018
JESUS,83,2018
JESUSMARIA,629,2018
JESUSNAZARENO,NA,2018
CUADRON,3,2018
DEFUNCIONESREGISTRADASPOR,NA,2018
DISTRITOSSEGNAO,2018,2018
Seleccionecursorsobremapapara,NA,2018
vermayores,NA,2018
detalles,NA,2018
JESUSMARIA,NA,2018
Distrito,NA,2018
JESUSNAZARENO,56,2018
JILILI,3,2018
JIRCAN,9,2018
JIVIA,7,2018
JORGECHAVEZ,1,2018
JOSECRESPOYCASTILLO,69,2018
JOSEDOMINGOCHOQUE,19,2018
JOSEGALVEZ,15,2018
JOSELEONARDOORTIZ,498,2018
JOSELUISBUSTAMANTE,340,2018
JOSEMANUELQUIROZ,21,2018
JOSEMARIAARGUEDAS,5,2018
JOSEMARIAQUIMPER,20,2018
JOSESABOGAL,29,2018
JUANESPINOZAMEDRANO,11,2018
JUANGUERRA,22,2018
JUANJUI,74,2018
JULCAMARCA,8,2018
JULCAN,54,2018
JULI,34,2018
JULIACA,1285,2018
JUMBILLA,5,2018
JUNIN,44,2018
JUSTOAPUSAHUARAURA,3,2018
KAQUIABAMBA,7,2018
KELLUYO,2,2018
KIMBIRI,58,2018
KISHUARA,15,2018
KOSIPATA,20,2018
KUNTURKANKI,24,2018
LAARENA,101,2018
LABANDADESHILCAYO,149,2018
LABREA,33,2018
LACAPILLA,4,2018
LACOIPA,13,2018
LACRUZ,38,2018
LACUESTA,1,2018
LAESPERANZA,707,2018
LAFLORIDA,8,2018
LAHUACA,59,2018
LAJALCA,8,2018
LAJOYA,95,2018
LALIBERTAD,6,2018
LALIBERTADDEPALLAN,9,2018
LAMATANZA,77,2018
LAMERCED,NA,2018
CUADRON,3,2018
DEFUNCIONESREGISTRADASPOR,NA,2018
DISTRITOSSEGNAO,2018,2018
Seleccionecursorsobremapapara,NA,2018
vermayores,NA,2018
detalles,NA,2018
Distrito,NA,2018
LAMATANZA,NA,2018
LAMERCED,24,2018
LAMOLINA,477,2018
LAMORADA,6,2018
LAOROYA,67,2018
LAPAMPA,5,2018
LAPECA,11,2018
LAPERLA,417,2018
LAPRIMAVERA,3,2018
LAPUNTA,55,2018
LARAMADA,15,2018
LATINGUIA,179,2018
LAUNION,171,2018
LAVICTORIA,1153,2018
LAYARADALOSPALOS,19,2018
LABERINTO,15,2018
LACABAMBA,4,2018
LACHAQUI,4,2018
LAGUNAS,61,2018
LAHUAYTAMBO,2,2018
LAJAS,32,2018
LALAQUIZ,27,2018
LAMAS,122,2018
LAMAY,20,2018
LAMBAYEQUE,235,2018
LAMBRAMA,16,2018
LAMPA,70,2018
LAMPIAN,4,2018
LAMUD,29,2018
LANCONES,47,2018
LANGA,3,2018
LANGUI,16,2018
LARAMARCA,1,2018
LARAMATE,8,2018
LARAOS,4,2018
LAREDO,191,2018
LARES,32,2018
LARI,4,2018
LARIA,4,2018
LASAMAZONAS,5,2018
LASLOMAS,69,2018
LASPIEDRAS,15,2018
LASPIRIAS,6,2018
LAYO,44,2018
LEIMEBAMBA,20,2018
LEONCIOPRADO,11,2018
LEONORORDOEZ,NA,2018
CUADRON,3,2018
DEFUNCIONESREGISTRADASPOR,NA,2018
DISTRITOSSEGNAO,2018,2018
Seleccionecursorsobremapapara,NA,2018
vermayores,NA,2018
detalles,NA,2018
LEONCIOPRADO,NA,2018
Distrito,NA,2018
LEONORORDOEZ,9,2018
LEVANTO,2,2018
LIMA,1949,2018
LIMABAMBA,7,2018
LIMATAMBO,50,2018
LIMBANI,16,2018
LINCE,475,2018
LIRCAY,120,2018
LIVITACA,66,2018
LLACANORA,14,2018
LLACLLIN,3,2018
LLALLI,22,2018
LLAMA,26,2018
LLAMELLIN,17,2018
LLAPA,10,2018
LLAPO,1,2018
LLATA,54,2018
LLAUTA,4,2018
LLAYLLA,13,2018
LLIPA,2,2018
LLIPATA,3,2018
LLOCHEGUA,17,2018
LLOCLLAPAMPA,5,2018
LLOQUE,2,2018
LLUMPA,26,2018
LLUSCO,32,2018
LLUTA,9,2018
LOBITOS,5,2018
LOCROJA,20,2018
LOCUMBA,14,2018
LOMAS,4,2018
LONGAR,12,2018
LONGOTEA,12,2018
LONYACHICO,3,2018
LONYAGRANDE,13,2018
LOSAQUIJES,73,2018
LOSBAOSDELINCA,57,2018
LOSCHANKAS,1,2018
LOSMOROCHUCOS,25,2018
LOSOLIVOS,1083,2018
LOSORGANOS,37,2018
LUCANAS,7,2018
LUCMA,41,2018
LUCRE,38,2018
LUISCARRANZA,1,2018
LUNAHUANA,NA,2018
CUADRON,3,2018
DEFUNCIONESREGISTRADASPOR,NA,2018
DISTRITOSSEGNAO,2018,2018
Seleccionecursorsobremapapara,NA,2018
vermayores,NA,2018
detalles,NA,2018
LUISCARRANZA,NA,2018
Distrito,NA,2018
LUNAHUANA,25,2018
LURICOCHA,6,2018
LURIGANCHO,534,2018
LURIN,201,2018
LUYA,20,2018
LUYAVIEJO,3,2018
LUYANDO,31,2018
MACA,4,2018
MACARI,32,2018
MACATE,19,2018
MACHAGUAY,6,2018
MACHE,4,2018
MACHUPICCHU,12,2018
MACUSANI,74,2018
MADEAN,1,2018
MADREDEDIOS,9,2018
MADRIGAL,3,2018
MAGDALENA,11,2018
MAGDALENADECAO,17,2018
MAGDALENADELMAR,333,2018
MAJES,98,2018
MALA,53,2018
MALVAS,5,2018
MAMARA,5,2018
MANANTAY,315,2018
MANAS,5,2018
MANCORA,59,2018
MANCOS,41,2018
MANGAS,3,2018
MANSERICHE,3,2018
MANTA,4,2018
MANU,7,2018
MANUELANTONIOMESO,6,2018
MANZANARES,6,2018
MAAZO,15,2018
MAQUIA,3,2018
MARA,16,2018
MARANGANI,72,2018
MARANURA,42,2018
MARAS,40,2018
MARCA,5,2018
MARCABAL,30,2018
MARCABAMBA,4,2018
MARCAPATA,26,2018
MARCAPOMACOCHA,7,2018
MARCARA,NA,2018
CUADRON,3,2018
DEFUNCIONESREGISTRADASPOR,NA,2018
DISTRITOSSEGNAO,2018,2018
Seleccionecursorsobremapapara,NA,2018
vermayores,NA,2018
detalles,NA,2018
MARCAPOMACOCHA,NA,2018
Distrito,7,2018
MARCARA,44,2018
MARCAS,8,2018
MARCAVELICA,96,2018
MARCO,15,2018
MARCONA,55,2018
MARGOS,24,2018
MARIA,3,2018
MARIAPARADODEBELLI,10,2018
MARIANODAMASOBERA,26,2018
MARIANOMELGAR,256,2018
MARIANONICOLASVALC,19,2018
MARIAS,15,2018
MARIATANA,6,2018
MARISCALBENAVIDES,5,2018
